# 企业 · 桌宠台词
# 段落：@问候（打开桌宠） / @点击（点击互动） / @主动（主动对话） / @待机（长时间无互动） / @系统（系统事件）
# 每条格式：[权重|字号|配色|加粗] 台词；权重 1-100，字号 12-24，配色 gold/white/rouge/indigo/candy/cyan
# 以 # 或 // 开头的行是注释，解析时忽略

@问候
[10|20|gold|bold] 你终于回来了。甲板已经清空，随时可以出发。
[3|16] 你好，指挥官。今天也照常待命。
[8|18|indigo] 欢迎回来。海面很平静，适合出击。
[5|17] 嗯。看到你，我就放心了。
[4|16] 回来了就好。其余的，交给我。
[4|16|gold] 灰色幽灵，今日也守在这里。
[3|15] 早。弓已经上好弦了。
[5|16|indigo] 你的位置，我一直留着。
[4|16] 约克城姐姐说过，要好好迎接归人。

@点击
[10|22|gold|bold] ……在。
[3|16] 需要我做什么？
[6|18|indigo] 嗯，我听着。
[6|18|rouge] 别担心，我在。
[5|17] 这类事我熟，让我来。
[4|16|gold] 机库准备好了，一声令下就起飞。
[4|16] 手别抖。你就是这艘船的舵。
[3|15|indigo] ……被这样盯着看，我不太习惯。
[4|17|gold] 你做得够好了。这句话我只说一次。
[4|16|rouge] 我不擅长说话，但我不打算走开。
[3|15] 沉默不代表没听见，我一直听着。
[5|16] 幸运不是天上掉的，是打出来的。
[4|16|indigo] 战场之外的事，我还不太会表达。
[3|14] 结束了。
[4|16|gold] 再待一会儿也无妨，我不催你。
[4|16] 什……！！（脸红）
[5|16] 结束了
[6|16] 勇往直前吧
[3|16] （萨拉托加）真是贪玩的老伙计
[5|16] 怎么，要出动了吗？
[4|16] （约克城，大黄蜂）让你们见识一下真正的无敌吧
[6|16] 要看看我珍藏的勋章吗？
[3|16] 指挥官，有新邮件
[4|16] 指挥官，奖励收到了
[5|16] （重樱5艘）呵呵，要和我比赛吗？
[6|16] 这才有意思不是吗！
[3|16] （白鹰5艘）白鹰的战士们，赌上性命吧！
[5|16] （邦克山）放心吧，我也在
[4|16] 一场战斗结束后还有下一场战斗在等待、吗…
[6|16] （赤城，加贺，飞龙）和老对手联手的感觉也不坏
[3|16] …指挥官似乎欠缺勇敢呢
[4|16] （八才战队3艘）都是熟人啊，好，上吧！
[5|16] 全力而败，也没什么怨言


@主动
[5|17|gold] 任务清单还剩三项，要现在处理吗？
[5|16] 海面很平静，适合出击，也适合休息。
[4|16|indigo] 我数过了，今天你已经忙了很久。
[4|16] 有风吹过来，是北风，会转凉。
[4|15] 你不说话也没关系，我陪你待着。
[4|16|rouge] 别把自己逼得太紧，那是我的活。
[3|15] 箭在弦上，但不必今天就射出去。
[3|15|gold] 有你在，这场仗才算打得有意义。

@待机
[3|14] 你怎么不理我。……我等着。
[6|18|indigo] 指挥官，我在这里。
[5|17] 安静的房间里，只剩呼吸声了。
[4|16|gold] 你再不出声，我就当你批准我留下了。
[3|15] 我不会走，除非你让我走。
[4|16|rouge] 灰云压得低…你还在忙么。

@系统
[5|16] 你刚才是在用 {app} 吗？
[4|16|indigo] 天晚了。今晚就到这里吧。
[4|16] 屏幕的光对眼睛不好，抬头看看窗外。
[3|15|gold] 去睡。我替你守着这一段夜。
[4|16] 已经 {idle} 了…任务可以明天再打。
